test,value,threshold,passed
text_prediction_loss_max,1.5990396756630314e-05,5.75,True
text_persistence_present,14.56795060587576,present,True
text_unigram_or_frequency_present,3.23540849238773,present,True
text_shuffled_input_present,15.074763456980387,present,True
text_shuffled_loss_ratio_min,1.0607394804079623e-06,0.75,False
events_prediction_loss_max,1.4258899454944185e-05,5.75,True
events_persistence_present,14.236640034418379,present,True
events_unigram_or_frequency_present,3.8120043224824323,present,True
events_shuffled_input_present,12.249168793360392,present,True
events_shuffled_loss_ratio_min,1.1640707786370908e-06,0.75,False
text_text_nonterminal_accuracy_min,0.6875,0.3,True
events_event_verb_accuracy_min,0.0,0.3,False
events_event_source_accuracy_min,0.0,0.3,False
text_textv2_6_transfer_loss_max,1.5990396756630314e-05,6.25,True
text_textv2_7_transfer_loss_max,8.998347008552325e-05,6.25,True
events_eventv2_6_transfer_loss_max,1.4258899454944185e-05,6.25,True
events_eventv2_7_transfer_loss_max,0.004253362442644478,6.25,True
