test,value,threshold,passed
grid_prediction_loss_max,0.020497381609554093,0.75,True
grid_persistence_present,0.022251637109244864,present,True
grid_unigram_or_frequency_present,0.02977374444405238,present,True
grid_shuffled_input_present,0.03141028806567192,present,True
grid_shuffled_loss_ratio_min,0.652569042560152,0.5,True
text_prediction_loss_max,4.875143369038899,6.25,True
text_persistence_present,14.385605935180331,present,True
text_unigram_or_frequency_present,3.3820575302373768,present,True
text_shuffled_input_present,10.383911887804667,present,True
text_shuffled_loss_ratio_min,0.46949005555069157,0.5,False
signal_prediction_loss_max,0.014750419727837047,1.0,True
signal_persistence_present,0.05289523210376501,present,True
signal_unigram_or_frequency_present,0.23713957394162813,present,True
signal_shuffled_input_present,0.46371713529030484,present,True
signal_shuffled_loss_ratio_min,0.03180908921686216,0.5,False
events_prediction_loss_max,1.2513192494710286,6.25,True
events_persistence_present,14.30895730998895,present,True
events_unigram_or_frequency_present,3.8725482338651087,present,True
events_shuffled_input_present,6.896628061930339,present,True
events_shuffled_loss_ratio_min,0.18143928282552463,0.5,False
grid_grid_position_accuracy_min,0.4375,0.25,True
grid_grid_class_accuracy_min,0.0,0.25,False
text_text_nonterminal_accuracy_min,0.6875,0.25,True
signal_signal_frequency_band_accuracy_min,0.0,0.25,False
events_event_verb_accuracy_min,0.0,0.25,False
events_event_source_accuracy_min,0.0,0.25,False
grid_rule_seed_101_transfer_loss_max,0.020497381609554093,1.0,True
grid_rule_seed_102_transfer_loss_max,0.016163147403858602,1.0,True
text_grammar_2_transfer_loss_max,4.875143369038899,6.75,True
text_grammar_3_transfer_loss_max,5.580457240343094,6.75,True
signal_signal_2_transfer_loss_max,0.014750419727837047,1.25,True
signal_signal_3_transfer_loss_max,0.04617215289423863,1.25,True
events_event_2_transfer_loss_max,1.2513192494710286,6.75,True
events_event_3_transfer_loss_max,1.3664660851160686,6.75,True
