test,value,threshold,passed
grid_prediction_loss_max,0.023699288334076602,0.75,True
grid_persistence_present,0.022251637109244864,present,True
grid_unigram_or_frequency_present,0.02977374444405238,present,True
grid_shuffled_input_present,0.03354343834022681,present,True
grid_shuffled_loss_ratio_min,0.7065253148379648,0.5,True
text_prediction_loss_max,4.736738999684651,6.25,True
text_persistence_present,14.385605935180331,present,True
text_unigram_or_frequency_present,3.3820575302373768,present,True
text_shuffled_input_present,9.510501782099405,present,True
text_shuffled_loss_ratio_min,0.49805353158127846,0.5,False
signal_prediction_loss_max,0.01656256600593527,1.0,True
signal_persistence_present,0.05289523210376501,present,True
signal_unigram_or_frequency_present,0.23713957394162813,present,True
signal_shuffled_input_present,0.46725199619929,present,True
signal_shuffled_loss_ratio_min,0.03544675280289458,0.5,False
events_prediction_loss_max,1.0324348260958989,6.25,True
events_persistence_present,14.30895730998895,present,True
events_unigram_or_frequency_present,3.8725482338651087,present,True
events_shuffled_input_present,6.497531811396281,present,True
events_shuffled_loss_ratio_min,0.15889646346710762,0.5,False
grid_grid_position_accuracy_min,0.125,0.25,False
grid_grid_class_accuracy_min,0.0,0.25,False
text_text_nonterminal_accuracy_min,0.875,0.25,True
signal_signal_frequency_band_accuracy_min,0.0,0.25,False
events_event_verb_accuracy_min,0.0,0.25,False
events_event_source_accuracy_min,0.0,0.25,False
grid_rule_seed_101_transfer_loss_max,0.023699288334076602,1.0,True
grid_rule_seed_102_transfer_loss_max,0.01951435177276532,1.0,True
text_grammar_2_transfer_loss_max,4.781136254469554,6.75,True
signal_signal_2_transfer_loss_max,0.017247868158544104,1.25,True
events_event_2_transfer_loss_max,1.0917276814579964,6.75,True
